sample	R1	R2	score
10_Z_41_A1_HR03b	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_021_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_021_S1_L005_R2_001.fastq.gz	-1
13_P_7_A4_HR03b	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_051_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_051_S1_L005_R2_001.fastq.gz	1
15_JHL_140_A1_HR03b	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_052_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_052_S1_L005_R2_001.fastq.gz	1
16_MC_158_A34_HR03b	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_022_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_022_S1_L005_R2_001.fastq.gz	-1
16_MC_165_A4_HR03b	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_023_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_023_S1_L005_R2_001.fastq.gz	-1
16_MC_175_A11_HR03b	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_026_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_026_S1_L005_R2_001.fastq.gz	1
16_MC_194_A3_HR03b	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_027_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_027_S1_L005_R2_001.fastq.gz	1
16_MC_195_A2_HR03b	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_028_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_028_S1_L005_R2_001.fastq.gz	1
16_MC_204_A3_HR03b	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_031_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_LHB_PhD/RawData/Arbor_HR03b_HR04b_Illumina_030821/6675-JK-2_031_S1_L005_R2_001.fastq.gz	-1
Agria_HR02_v5	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_1_S1_L005_R1_001.fastq.gz	/mnt/shared/projects/jhi/potato/202103_RenSeq_Arbor/Arbor_HR02_Illumina_23Apr2021/6112-JK-11_1_S1_L005_R2_001.fastq.gz	1
